Mark,Athlete,Venue,Date
2.17 m (7 ft 1+1⁄4 in), John Thomas (USA),"Cambridge, Massachusetts",21 May 1960[1]
2.18 m (7 ft 1+3⁄4 in), John Thomas (USA),"Bakersfield, California",24 June 1960[1]
2.22 m (7 ft 3+1⁄4 in), John Thomas (USA),"Palo Alto, California",1 July 1960[1]
2.23 m (7 ft 3+3⁄4 in), Valeriy Brumel (URS),Moscow,18 June 1961[1]
2.24 m (7 ft 4 in), Valeriy Brumel (URS),Moscow,16 July 1961[1]
2.25 m (7 ft 4+1⁄2 in), Valeriy Brumel (URS),"Sofia, Bulgaria",31 August 1961[1]
2.26 m (7 ft 4+3⁄4 in), Valeriy Brumel (URS),"Palo Alto, California",22 July 1962[1]
2.27 m (7 ft 5+1⁄4 in), Valeriy Brumel (URS),Moscow,29 September 1962[1]
2.28 m (7 ft 5+3⁄4 in), Valeriy Brumel (URS),Moscow,21 July 1963[1]
2.29 m (7 ft 6 in), Pat Matzdorf (USA),"Berkeley, California",3 July 1971[1]
2.30 m (7 ft 6+1⁄2 in), Dwight Stones (USA),Munich,11 July 1973[1]
2.31 m (7 ft 6+3⁄4 in), Dwight Stones (USA),Philadelphia,5 June 1976[1]
2.32 m (7 ft 7+1⁄4 in), Dwight Stones (USA),Philadelphia,4 August 1976[1]
2.33 m (7 ft 7+1⁄2 in), Vladimir Yashchenko (URS),"Richmond, Virginia",2 June 1977[1]
2.34 m (7 ft 8 in), Vladimir Yashchenko (URS),"Tbilisi, Soviet Union",16 June 1978[1]
2.35 m (7 ft 8+1⁄2 in), Jacek Wszoła (POL),"Eberstadt, West Germany",25 May 1980[1]
2.35 m (7 ft 8+1⁄2 in), Dietmar Mögenburg (FRG),"Rehlingen, West Germany",26 May 1980[1]
2.36 m (7 ft 8+3⁄4 in), Gerd Wessig (GDR),"Moscow, Soviet Union",1 August 1980[1]
2.37 m (7 ft 9+1⁄4 in), Zhu Jianhua (CHN),"Beijing, China",11 June 1983[1]
2.38 m (7 ft 9+1⁄2 in), Zhu Jianhua (CHN),"Shanghai, China",22 September 1983[1]
2.39 m (7 ft 10 in), Zhu Jianhua (CHN),"Eberstadt, West Germany",10 June 1984[1]
2.40 m (7 ft 10+1⁄4 in), Rudolf Povarnitsyn (URS),"Donetsk, Soviet Union",11 August 1985[1]
2.41 m (7 ft 10+3⁄4 in), Igor Paklin (URS),"Kobe, Japan",4 September 1985[1]
2.42 m (7 ft 11+1⁄4 in), Patrik Sjöberg (SWE),"Stockholm, Sweden",30 June 1987[1]
2.43 m (7 ft 11+1⁄2 in), Javier Sotomayor (CUB),"Salamanca, Spain",8 September 1988[1]
2.44 m (8 ft 0 in), Javier Sotomayor (CUB),"San Juan, Puerto Rico",29 July 1989[1]
2.45 m (8 ft 1⁄4 in), Javier Sotomayor (CUB),"Salamanca, Spain",27 July 1993[1]
